topic 0
MacOSX : 0.00376927304885
brew : 0.00349190191355
Selenium : 0.00321453077825
rbenv : 0.00238241737234

topic 35
Vim : 0.00956074260772
zybo : 0.00287240083734
CSV : 0.0022035666603
dein.vim : 0.00153473248326
gpio : 0.00153473248326
TTC : 0.00120031539474
PDF出力 : 0.00120031539474
interrupt : 0.00120031539474
PDF : 0.00120031539474
neovim : 0.00120031539474

topic 36
oracle : 0.00661125234523
MySQL : 0.00468464195246
chef : 0.0040424384882
MongoDB : 0.00275803155969
devise : 0.00275803155969
Haskell : 0.00243692982756
Rails : 0.00211582809543
Weblogic : 0.00211582809543
Rails4 : 0.00179472636331
Facebook : 0.00179472636331

topic 37
Arduino : 0.0145743422834
borgSensorSystem1 : 0.0124305736972
Swift : 0.0105930577662
iOS : 0.00875554183526
Xcode : 0.00875554183526
ESP8266 : 0.0075305312146
Twitter : 0.00538676262845
DMP : 0.00508050997329
IoT : 0.00446800466296
電子工作 : 0.00385549935263

topic 38
機械学習 : 0.0237706999085
DeepLearning : 0.0199362058883
Python : 0.0113823346123
R : 0.00754784059201
OpenCV : 0.00636799627808
MachineLearning : 0.00636799627808
TensorFlow : 0.00371334657174
ニューラルネットワーク : 0.00312342441477
深層学習 : 0.00312342441477
データ分析 : 0.00282846333629

topic 39
Java : 0.0331364881751
C# : 0.031703116102
Unity : 0.0182294186148
C++ : 0.0116359070785
Xamarin : 0.00504239554228
C : 0.00418237229842
AOJ : 0.0038956978838
.NET : 0.00360902346918
Android : 0.00303567463993
WPF : 0.00303567463993

topic 40
JSON : 0.00982542462738
MySQL : 0.00918301488425
Rails : 0.00372253206757
Rails4 : 0.00372253206757
PHP : 0.00308012232443
golang : 0.00243771258129
bigquery : 0.00211650770973
wiotp : 0.00211650770973
node-red : 0.00179530283816
ActiveRecord : 0.00179530283816

topic 41
Python : 0.102741312757
python2.7 : 0.021796211923
めざせライブラリマスター : 0.0215290663757
python3 : 0.015651864335
Django : 0.00950751674697
Windows8.1 : 0.00710320682122
Anaconda : 0.00469889689547
Jupyter : 0.00389746025356
matplotlib : 0.00256173251703
pyenv : 0.00256173251703

topic 42
Ruby : 0.0247279324374
Rails : 0.0160106001112
Elixir : 0.00438749034306
Rails4 : 0.00277316954193
RSpec : 0.0024503053817
Phoenix : 0.00212744122147
RubyOnRails : 0.00212744122147
ActiveRecord : 0.00180457706125
Objective-C : 0.00115884874079
監視 : 0.000835984580566

topic 43
RaspberryPi : 0.027972374772
Slack : 0.00657535923814
raspbian : 0.00625600079734
Raspberrypi3 : 0.00402049171171
Emacs : 0.0030624163893
digdag : 0.0030624163893
Zsh : 0.0030624163893
Azure : 0.00146562418528
Django : 0.00114626574448
Python : 0.00114626574448

topic 44
初心者 : 0.00719111070074
Ruby : 0.00687276891131
Java : 0.00591774354302
オブジェクト指向 : 0.00496271817474
デザインパターン : 0.00337100922759
Kotlin : 0.00305266743816
C# : 0.00273432564874
C++ : 0.00273432564874
Swift : 0.00241598385931
JavaScript : 0.00209764206988

topic 45
ATOM : 0.0056011848448
Markdown : 0.00528274168161
正規表現 : 0.00496429851841
Ruby : 0.00400896902883
PostgreSQL : 0.00369052586563
Perl : 0.00273519637604
Excel : 0.00273519637604
PHP : 0.00209831004965
Pandoc : 0.00177986688646
Mac : 0.00177986688646

topic 46
SQL : 0.0160261228934
MySQL : 0.0118248194595
PostgreSQL : 0.00794669321285
oracle : 0.00536127571509
Excel : 0.00342221259177
ORM : 0.00277585821733
WWDC : 0.00277585821733
WWDC2016 : 0.00277585821733
ios10 : 0.0024526810301
Ruby : 0.00212950384288

topic 47
iOS : 0.018795604865
Unity : 0.0136239018664
Android : 0.00980133878039
Xcode : 0.00867705551981
Swift : 0.00710305895501
Mac : 0.00597877569443
新人プログラマ応援 : 0.0055290623902
GitHub : 0.00530420573808
Windows : 0.00507934908597
C# : 0.00440477912962

topic 48
Git : 0.0566119531694
GitHub : 0.016615398612
tmux : 0.00359326457008
Subversion : 0.00204301051747
VHDL : 0.00142290889642
bitbucket : 0.00142290889642
Bash : 0.00142290889642
git-svn : 0.0011128580859
memo : 0.0011128580859
SourceTree : 0.0011128580859

topic 49
ASP.NET : 0.00225022245653
Ruby : 0.00190872480366
.NETCore : 0.00156722715079
pry : 0.00156722715079
Elixir : 0.00156722715079
ASP.NET_WebAPI : 0.00122572949792
ASP.NET_MVC : 0.00122572949792
nfs : 0.00122572949792
Windows10 : 0.000884231845051
sed : 0.000884231845051

topic 50
Go : 0.000211416490486
TensorFlow : 0.000211416490486
Vim : 0.000211416490486
C# : 0.000211416490486
めざせライブラリマスター : 0.000211416490486
Ubuntu : 0.000211416490486
機械学習 : 0.000211416490486
Windows : 0.000211416490486
PostgreSQL : 0.000211416490486
VirtualBox : 0.000211416490486

